"ITTER107","Territorio","TIPO_DATO15","Funzioni biometriche","SEXISTAT1","Sesso","ETA1","Età e classi di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y61","61 anni","2011","2011",7.84808,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y61","61 anni","2012","2012",7.8543,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y61","61 anni","2013","2013",7.4817,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y61","61 anni","2014","2014",7.28315,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y61","61 anni","2015","2015",7.32098,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y61","61 anni","2016","2016",6.97067,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y60","60 anni","2004","2004",4.38337,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y60","60 anni","2005","2005",4.43493,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y60","60 anni","2006","2006",4.24539,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y60","60 anni","2007","2007",4.26066,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y60","60 anni","2008","2008",4.02277,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y60","60 anni","2009","2009",4.21501,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y60","60 anni","2010","2010",4.07927,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y60","60 anni","2011","2011",4.21682,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y60","60 anni","2012","2012",4.00517,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y60","60 anni","2013","2013",4.1121,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y60","60 anni","2014","2014",3.98647,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y60","60 anni","2015","2015",4.14815,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y60","60 anni","2016","2016",3.9457,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y61","61 anni","2004","2004",4.74136,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y61","61 anni","2005","2005",4.45419,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y61","61 anni","2006","2006",4.60495,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y61","61 anni","2007","2007",4.45996,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y61","61 anni","2008","2008",4.51069,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y61","61 anni","2009","2009",4.25068,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y61","61 anni","2010","2010",4.03109,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y61","61 anni","2011","2011",4.2106,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y61","61 anni","2012","2012",4.20444,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y61","61 anni","2013","2013",3.94938,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y61","61 anni","2014","2014",3.94916,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y61","61 anni","2015","2015",4.02877,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y61","61 anni","2016","2016",3.56591,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y60","60 anni","2004","2004",8.996,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y60","60 anni","2005","2005",8.96033,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y60","60 anni","2006","2006",8.35554,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y60","60 anni","2007","2007",8.44024,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y60","60 anni","2008","2008",8.0622,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y60","60 anni","2009","2009",8.25174,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y60","60 anni","2010","2010",7.89745,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y60","60 anni","2011","2011",8.13385,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y60","60 anni","2012","2012",7.61784,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y60","60 anni","2013","2013",7.49165,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y60","60 anni","2014","2014",7.54278,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y60","60 anni","2015","2015",7.57376,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y60","60 anni","2016","2016",7.16919,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y70","70 anni","2004","2004",12.51769,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y70","70 anni","2005","2005",12.3852,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y70","70 anni","2006","2006",11.81145,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y70","70 anni","2007","2007",11.77345,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y70","70 anni","2008","2008",10.94242,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y70","70 anni","2009","2009",11.323,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y70","70 anni","2010","2010",10.82123,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y70","70 anni","2011","2011",11.17649,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y70","70 anni","2012","2012",10.89458,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y70","70 anni","2013","2013",10.92309,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y70","70 anni","2014","2014",10.60816,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y70","70 anni","2015","2015",10.67886,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y70","70 anni","2016","2016",9.87547,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y65","65 anni","2004","2004",7.07572,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y65","65 anni","2005","2005",7.07145,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y65","65 anni","2006","2006",7.01994,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y65","65 anni","2007","2007",7.14151,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y65","65 anni","2008","2008",6.82944,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y65","65 anni","2009","2009",6.66821,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y65","65 anni","2010","2010",6.53957,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y65","65 anni","2011","2011",6.29309,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y65","65 anni","2012","2012",6.35618,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y65","65 anni","2013","2013",6.3769,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y65","65 anni","2014","2014",6.28789,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y65","65 anni","2015","2015",6.55392,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y65","65 anni","2016","2016",6.2224,,
"ITE","Centro","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y61","61 anni","2004","2004",4.98202,,
"ITE","Centro","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y61","61 anni","2005","2005",4.4129,,
"ITE","Centro","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y61","61 anni","2006","2006",4.32322,,
"ITE","Centro","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y61","61 anni","2007","2007",4.20488,,
"ITE","Centro","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y61","61 anni","2008","2008",4.28168,,
"ITE","Centro","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y61","61 anni","2009","2009",4.41776,,
"ITE","Centro","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y61","61 anni","2010","2010",4.19425,,
"ITE","Centro","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y61","61 anni","2011","2011",4.30065,,
"ITE","Centro","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y61","61 anni","2012","2012",4.3105,,
"ITE","Centro","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y61","61 anni","2013","2013",4.06619,,
"ITE","Centro","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y61","61 anni","2014","2014",4.09323,,
"ITE","Centro","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y61","61 anni","2015","2015",4.17648,,
"ITE","Centro","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y61","61 anni","2016","2016",4.13774,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y67","67 anni","2004","2004",7.7144,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y67","67 anni","2005","2005",7.59239,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y67","67 anni","2006","2006",7.54885,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y67","67 anni","2007","2007",7.54557,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y67","67 anni","2008","2008",7.42409,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y67","67 anni","2009","2009",7.44703,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y67","67 anni","2010","2010",7.40231,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y67","67 anni","2011","2011",7.01767,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y67","67 anni","2012","2012",7.0178,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y67","67 anni","2013","2013",7.05322,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y67","67 anni","2014","2014",6.76171,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y67","67 anni","2015","2015",6.92738,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y67","67 anni","2016","2016",6.68319,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y68","68 anni","2004","2004",9.9947,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y68","68 anni","2005","2005",9.79855,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y68","68 anni","2006","2006",8.95579,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y68","68 anni","2007","2007",9.29295,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y68","68 anni","2008","2008",9.07204,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y68","68 anni","2009","2009",9.30621,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y68","68 anni","2010","2010",8.88563,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y68","68 anni","2011","2011",9.028,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y68","68 anni","2012","2012",8.60917,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y68","68 anni","2013","2013",8.29701,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y68","68 anni","2014","2014",8.68384,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y68","68 anni","2015","2015",8.494,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y68","68 anni","2016","2016",8.31817,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y67","67 anni","2004","2004",17.13648,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y67","67 anni","2005","2005",15.55646,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y67","67 anni","2006","2006",15.3543,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y67","67 anni","2007","2007",15.29175,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y67","67 anni","2008","2008",15.27383,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y67","67 anni","2009","2009",14.97324,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y67","67 anni","2010","2010",14.83307,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y67","67 anni","2011","2011",14.55345,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y67","67 anni","2012","2012",14.31146,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y67","67 anni","2013","2013",13.79355,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y67","67 anni","2014","2014",13.29598,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y67","67 anni","2015","2015",12.98783,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y67","67 anni","2016","2016",12.95486,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y69","69 anni","2004","2004",21.14006,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y69","69 anni","2005","2005",19.84448,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y69","69 anni","2006","2006",18.5766,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y69","69 anni","2007","2007",17.87517,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y69","69 anni","2008","2008",17.97401,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y69","69 anni","2009","2009",17.87748,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y69","69 anni","2010","2010",17.45765,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y69","69 anni","2011","2011",17.28045,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y69","69 anni","2012","2012",17.13148,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y69","69 anni","2013","2013",16.58874,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y69","69 anni","2014","2014",16.09207,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y69","69 anni","2015","2015",16.18934,,
"ITCD","Nord","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y69","69 anni","2016","2016",15.38964,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y61","61 anni","2004","2004",10.37363,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y61","61 anni","2005","2005",9.83392,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y61","61 anni","2006","2006",9.47091,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y61","61 anni","2007","2007",9.42998,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y61","61 anni","2008","2008",8.73854,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y61","61 anni","2009","2009",9.02799,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y61","61 anni","2010","2010",8.8106,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y61","61 anni","2011","2011",8.88644,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y61","61 anni","2012","2012",8.59242,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y61","61 anni","2013","2013",8.42182,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y61","61 anni","2014","2014",8.36103,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y61","61 anni","2015","2015",8.27894,,
"ITFG","Mezzogiorno","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y61","61 anni","2016","2016",7.92193,,
"ITE","Centro","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y67","67 anni","2004","2004",16.05706,,
"ITE","Centro","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y67","67 anni","2005","2005",15.44426,,
